1 409 2 46 6
1 411 2 50 7
1 678 1 54 4
1 7288 2 52 7
1 7288 2 49 12
1 327 2 30 2
1 514 1 45 3
1 517 2 50 1
1 517 2 25 1
1 531 1 47 4
1 951 1 42 2
1 405 2 47 11
1 802 1 47 12
1 806 2 44 5
1 807 1 40 5
1 1024 2 47 3
1 1024 1 46 1
1 7280 1 47 2
1 104 2 38 3
1 111 2 52 7
1 111 2 53 2
1 222 2 55 1
1 7181 2 43 3
1 871 2 45 2
1 874 2 49 4
1 7183 2 59 1
1 658 1 51 3
1 571 2 51 9
1 571 1 45 1
1 932 1 48 5
1 500 2 54 2
1 500 1 50 2
1 503 1 56 1
1 7249 1 48 7
1 7249 2 61 1
1 581 1 52 6
1 809 1 49 2
1 809 1 41 4
1 943 1 42 9
1 548 1 45 1
1 383 1 49 6
1 979 1 47 2
1 979 2 45 3
1 1049 2 54 1
1 848 1 51 1
1 924 1 44 3
1 925 1 48 5
1 1240 2 40 1
1 1240 2 38 1
1 997 2 50 8
1 997 1 46 2
1 1244 2 42 2
1 926 2 40 1
1 1263 2 43 2
1 1123 2 40 1
1 1372 2 48 4
1 1376 1 51 1
1 1280 2 51 3
1 1008 2 53 1
1 1318 1 52 7
1 912 1 57 2
1 903 2 45 2
1 904 1 49 4
1 1202 1 52 15
1 1485 2 60 2
1 1485 1 48 2
1 1559 1 63 6
1 1568 1 57 3
1 1140 2 53 1
1 1140 2 51 1
1 1140 2 43 8
1 1140 1 41 2
1 1553 1 61 7
1 1189 2 44 10
1 1104 1 50 9
1 1381 2 45 6
1 1415 2 45 8
1 1348 2 57 1
1 1149 1 42 1
1 1581 1 48 1
1 6894 1 38 1
1 1422 2 37 4
1 1157 2 56 1
1 1164 1 52 3
1 1535 1 65 5
1 1403 1 46 3
1 1582 2 43 1
1 1869 1 28 1
1 1452 2 52 3
1 1452 1 53 1
1 1211 2 45 8
1 1211 2 35 1
1 1169 1 47 7
1 6873 1 46 3
1 1085 1 44 13
1 1461 1 35 1
1 1589 2 48 3
1 1436 2 49 5
1 1438 1 54 1
1 1439 2 47 6
1 1571 2 53 2
1 1662 2 43 1
1 1595 1 55 5
1 1379 2 41 7
1 1465 1 24 3
1 1470 2 52 2
1 1428 2 46 12
1 1429 2 50 6
1 1473 1 54 1
1 1880 2 49 10
1 1882 2 54 6
1 1700 1 52 13
1 1700 2 52 2
1 1701 1 56 3
1 1785 2 53 1
1 1801 2 48 10
1 1801 2 41 1
1 1810 2 47 6
1 1810 1 48 5
1 1841 1 46 2
1 1650 2 46 11
1 1652 1 54 11
1 1654 1 51 13
1 1851 1 53 6
1 1694 2 50 10
1 1731 1 46 8
1 1888 1 50 6
1 1934 2 48 9
1 1935 2 51 2
1 7177 2 53 1
1 1979 1 40 2
1 1915 1 29 2
1 1982 2 51 1
1 1627 1 54 4
1 1984 2 50 1
1 1945 1 54 1
1 2013 1 42 3
1 2015 1 43 1
1 1990 1 53 1
1 1996 1 54 2
1 1924 1 43 12
1 1930 1 41 2
1 2018 1 51 7
1 7172 2 54 4
1 7172 2 51 7
1 7172 1 62 1
1 2003 2 46 1
1 2029 2 41 2
1 2041 2 58 1
3 7043 1 47 7
1 2025 2 44 1
1 2050 2 33 1
1 2050 2 31 2
1 2060 1 40 3
1 2060 1 44 11
